# Fuel#           Tinf             Tjet             Ts               rhoinf           rhojet           Zs
 7.00000000e+00   3.00000000e+02   2.97700389e+02   1.87200000e+03   1.17700000e+00   7.18776204e-01   8.65418308e-01 
 3.00000000e+00   3.00000000e+02   2.97734104e+02   2.32400000e+03   1.17700000e+00   9.84646808e-02   3.05895175e-01 
 1.00000000e+00   3.00000000e+02   3.02918919e+02   2.38400000e+03   1.17700000e+00   8.08443422e-02   2.26349703e-01 
 2.00000000e+00   3.00000000e+02   3.05000000e+02   2.22600000e+03   1.17700000e+00   6.38874977e-01   3.70267062e-01 
 4.00000000e+00   3.00000000e+02   3.00144928e+02   2.22800000e+03   1.17700000e+00   1.13756066e-01   4.06671457e-01 
 5.00000000e+00   3.00000000e+02   3.03765550e+02   2.07500000e+03   1.17700000e+00   9.28765590e-01   6.79295955e-01 
 6.00000000e+00   3.00000000e+02   3.02133479e+02   2.02500000e+03   1.17700000e+00   6.03700646e-01   8.13499404e-01 
