# time = 0
# grid points = 201
# Domain Size = 2
# pressure (Pa) = 101325
#          1_pos          2_posf         3_uvel         4_vvel         5_wvel
 -0.997929011506 -1.000000000000 0.675602856610 0.027892195713 0.028001909670
 -0.994802774492 -0.995858023011 1.673046053800 0.068027575534 0.068301688549
 -0.992663403676 -0.993747525972 2.340296716900 0.093768779166 0.094154456284
 -0.990455753824 -0.991579281380 3.007758463500 0.117781147220 0.118280656940
 -0.988157038453 -0.989332226268 3.675470513400 0.139260811920 0.139877111760
 -0.985740790735 -0.986981850638 4.343405330700 0.157125125100 0.157861290700
 -0.983177152714 -0.984499730832 5.011383802600 0.169894101500 0.170746460070
 -0.980436063884 -0.981854574595 5.678882691900 0.175189361150 0.176072017530
 -0.977497690884 -0.979017553173 6.344781309600 0.170601499230 0.171797249800
 -0.974375504588 -0.975977828595 7.007516275800 0.152193190700 0.153390783420
 -0.971145963882 -0.972773180580 7.666824347800 0.117115611080 0.118319387500
 -0.967947794264 -0.969518747183 8.326123032900 0.065596579340 0.066650348360
 -0.964917750584 -0.966376841345 8.989777921500 0.002293435837 0.002955820509
 -0.962114981106 -0.963458659822 9.657861967600 -0.065900094024 -0.065903719282
 -0.959510197000 -0.960771302390 10.328076901000 -0.133083667300 -0.134020096670
 -0.957020039532 -0.958249091610 10.999475334000 -0.194946873550 -0.197063200160
 -0.954524402297 -0.955790987454 11.674159580000 -0.247339307780 -0.250880276820
 -0.951775560233 -0.953257817140 12.375726899000 -0.284402771670 -0.289760744460
 -0.947643872289 -0.950293303326 13.263603380000 -0.287156441450 -0.294498476470
 -0.940856733984 -0.944994441252 13.688012159000 -0.141919864090 -0.152153320390
 -0.932581319448 -0.936719026716 13.750499732000 0.225838834950 0.212775766110
 -0.925680565188 -0.928443612180 14.074543393000 0.457172975260 0.438894405270
 -0.921371672830 -0.922917518197 14.940132430000 0.494529380360 0.470040305470
 -0.918417532412 -0.919825827463 15.633552492000 0.495281700050 0.468063090960
 -0.915502145594 -0.917009237361 16.321486890000 0.479181396730 0.448450932800
 -0.911887464043 -0.913995053827 17.077347657000 0.448806995080 0.414195430450
 -0.906450469034 -0.909779874258 17.851315706000 0.401694685180 0.362558323600
 -0.899791658590 -0.903121063810 18.023853510000 0.353997933620 0.312032952290
 -0.890349823180 -0.896462253360 18.008189466000 0.298418895560 0.255239428570
 -0.878124962830 -0.884237393010 17.989206998000 0.242809896600 0.200471163050
 -0.865900102480 -0.872012532650 18.022457388000 0.206048834290 0.163744841050
 -0.853675242120 -0.859787672300 18.051130980000 0.196375204630 0.152746440670
 -0.843771559720 -0.847562811940 17.783791499000 0.199009655460 0.154467965970
 -0.838186620440 -0.839980307500 16.883631977000 0.209346002510 0.166726408300
 -0.834956577460 -0.836392933380 16.168710524000 0.210703719180 0.169480673990
 -0.832025749640 -0.833520221530 15.461424897000 0.189356853200 0.152820101400
 -0.827579998720 -0.830531277740 14.477676301000 0.052163156554 0.019622407989
 -0.820535150920 -0.824628719690 14.236365443000 -0.429372095370 -0.456571971700
 -0.814394797750 -0.816441582140 14.265111831000 -0.600754194680 -0.626811020700
 -0.810301228970 -0.812348013360 14.322638171000 -0.474366127420 -0.501202899960
 -0.806635358620 -0.808254444580 14.672309491000 -0.130420980900 -0.161803398170
 -0.804124501720 -0.805016272650 15.560863099000 0.006453654961 -0.029872309704
 -0.802414452640 -0.803232730790 16.245675483000 0.053831568443 0.013971381644
 -0.800579222390 -0.801596174490 16.948025537000 0.067187560774 0.023646201680
 -0.798274543690 -0.799562270300 17.601172667000 0.056298746710 0.009552645494
 -0.795699090470 -0.796986817080 17.936751960000 0.034137077378 -0.016942081384
 -0.791326611750 -0.794411363870 17.945354419000 0.028008003740 -0.026553907341
 -0.785157107530 -0.788241859640 17.946974155000 0.073398413987 0.009757171945
 -0.775902851200 -0.782072355420 18.017577979000 0.127952752710 0.055015576261
 -0.763563842750 -0.769733346980 18.001782302000 0.079154288942 0.006249751830
 -0.754309586420 -0.757394338530 17.983296802000 -0.061115697311 -0.128784770070
 -0.748140082200 -0.751224834310 18.007143762000 -0.145364618830 -0.208999543570
