# time = 0.000110189
# Grid Points = 128
             # Temp                 # enthalpy                 # H2                 # H                 # O                 # O2                 # OH                 # H2O                 # HO2                 # H2O2                 # C                 # CH                 # CH2                 # CH2(S)                 # CH3                 # CH4                 # CO                 # CO2                 # HCO                 # CH2O                 # CH2OH                 # CH3O                 # CH3OH                 # C2H                 # C2H2                 # C2H3                 # C2H4                 # C2H5                 # C2H6                 # HCCO                 # CH2CO                 # HCCOH                 # N                 # NH                 # NH2                 # NH3                 # NNH                 # NO                 # NO2                 # N2O                 # HNO                 # CN                 # HCN                 # H2CN                 # HCNN                 # HCNO                 # HOCN                 # HNCO                 # NCO                 # N2                 # AR                 # C3H7                 # C3H8                 # CH2CHO                 # CH3CHO
   1.8421769049e+03   1.2149994999e+05   8.2342560855e-04   4.9901450961e-04   4.8081481875e-03   3.9908194039e-02   5.3311382515e-03   6.7387852780e-02   1.1795329634e-05   5.1566316497e-07   4.6226869195e-12   3.9728246644e-12   1.1186101965e-11   6.2723436915e-13   1.2544086101e-11   2.4874707813e-11   6.5042481909e-02   9.8197995752e-02   2.1100787215e-07   4.1881429274e-10   4.4501742747e-13   2.2061337007e-14   2.5942292425e-13   1.0045607093e-15   1.1275446247e-13   2.5354523238e-15   1.2972576429e-14   3.0395836075e-18   1.7585607978e-19   6.2873339850e-12   1.0837772317e-10   4.7524853070e-15   1.4951931498e-07   8.6151889640e-08   4.6865441503e-08   2.6940208086e-08   2.1009675279e-08   7.9199618610e-04   1.9002692434e-07   7.6969418182e-07   9.9375417419e-08   2.4701772256e-08   5.4044612081e-06   2.0154149863e-10   1.0008257657e-14   1.7960648822e-08   1.1615781429e-08   1.6864862380e-06   2.0566124559e-07   7.1718867877e-01   4.5624832392e-25   3.7251378940e-28   5.1499340331e-28   5.9417997851e-14   2.7779820010e-15
   1.8421776312e+03   1.2149994999e+05   8.2342560855e-04   4.9901450961e-04   4.8081481875e-03   3.9908194039e-02   5.3311382515e-03   6.7387852780e-02   1.1795329634e-05   5.1566316497e-07   4.6226869195e-12   3.9728246644e-12   1.1186101965e-11   6.2723436915e-13   1.2544086101e-11   2.4874707813e-11   6.5042481909e-02   9.8197995752e-02   2.1100787215e-07   4.1881429274e-10   4.4501742747e-13   2.2061337007e-14   2.5942292425e-13   1.0045607093e-15   1.1275446247e-13   2.5354523238e-15   1.2972576429e-14   3.0395836075e-18   1.7585607978e-19   6.2873339850e-12   1.0837772317e-10   4.7524853070e-15   1.4951931498e-07   8.6151889640e-08   4.6865441503e-08   2.6940208086e-08   2.1009675279e-08   7.9199618610e-04   1.9002692434e-07   7.6969418182e-07   9.9375417419e-08   2.4701772256e-08   5.4044612081e-06   2.0154149863e-10   1.0008257657e-14   1.7960648822e-08   1.1615781429e-08   1.6864862380e-06   2.0566124559e-07   7.1718867877e-01   4.5624832392e-25   3.7251378940e-28   5.1499340331e-28   5.9417997851e-14   2.7779820010e-15
   1.8437443772e+03   1.2149994999e+05   8.2955051919e-04   5.0310752719e-04   4.8268848627e-03   3.9667169566e-02   5.3553382799e-03   6.7283997715e-02   1.1710111080e-05   5.1315948797e-07   3.3626362436e-12   2.7326437987e-12   7.6539748403e-12   3.6216577150e-13   5.6615002203e-12   1.0170897004e-11   6.4533701679e-02   9.8998505341e-02   2.0999270519e-07   4.0296684876e-10   2.5205877271e-13   1.1181214034e-14   1.2724110084e-13   2.9306117289e-16   3.2690881539e-14   2.4142507396e-16   6.2130580669e-16   1.4454876569e-19   8.2716904777e-21   2.4639151899e-12   4.2020789283e-11   1.7611265861e-15   1.3623065899e-07   7.7809467690e-08   3.9522700572e-08   2.2514314582e-08   2.1209264795e-08   7.9303257288e-04   1.8889801343e-07   7.1231131556e-07   9.6129741346e-08   2.2625986867e-08   4.9074445944e-06   1.8330476447e-10   6.8220055629e-15   1.2773384637e-08   1.0471529196e-08   1.4144469848e-06   1.8453039882e-07   7.1718862064e-01   7.4048339512e-25   2.0738020344e-30   2.0415034907e-30   2.2900718790e-14   5.8586360253e-16
   1.8437468922e+03   1.2149994999e+05   8.2955051919e-04   5.0310752719e-04   4.8268848627e-03   3.9667169566e-02   5.3553382799e-03   6.7283997715e-02   1.1710111080e-05   5.1315948797e-07   3.3626362436e-12   2.7326437987e-12   7.6539748403e-12   3.6216577150e-13   5.6615002203e-12   1.0170897004e-11   6.4533701679e-02   9.8998505341e-02   2.0999270519e-07   4.0296684876e-10   2.5205877271e-13   1.1181214034e-14   1.2724110084e-13   2.9306117289e-16   3.2690881539e-14   2.4142507396e-16   6.2130580669e-16   1.4454876569e-19   8.2716904777e-21   2.4639151899e-12   4.2020789283e-11   1.7611265861e-15   1.3623065899e-07   7.7809467690e-08   3.9522700572e-08   2.2514314582e-08   2.1209264795e-08   7.9303257288e-04   1.8889801343e-07   7.1231131556e-07   9.6129741346e-08   2.2625986867e-08   4.9074445944e-06   1.8330476447e-10   6.8220055629e-15   1.2773384637e-08   1.0471529196e-08   1.4144469848e-06   1.8453039882e-07   7.1718862064e-01   7.4048339512e-25   2.0738020344e-30   2.0415034907e-30   2.2900718790e-14   5.8586360253e-16
   1.8454541457e+03   1.2149994999e+05   8.3494961378e-04   5.0647018755e-04   4.8412148747e-03   3.9442317472e-02   5.3773287191e-03   6.7194282235e-02   1.1626717079e-05   5.1043085707e-07   2.6765640256e-12   2.0734926981e-12   5.7742894181e-12   2.6195597206e-13   3.7354091211e-12   6.3302799628e-12   6.4063342231e-02   9.9738459346e-02   2.0887979526e-07   3.9548953811e-10   1.9249682797e-13   7.8786052900e-15   8.6316671587e-14   1.9878056144e-16   2.1946184039e-14   2.4046193348e-16   9.1231078076e-16   2.1193515502e-19   1.2047797372e-20   1.5365916261e-12   2.6016139908e-11   1.1080461224e-15   1.2524243493e-07   7.1022079535e-08   3.4004223090e-08   1.9206107295e-08   2.1379727668e-08   7.9370365735e-04   1.8781609632e-07   6.6267652105e-07   9.3546731107e-08   2.0835405212e-08   4.4813513256e-06   1.6738503416e-10   5.1361007473e-15   9.6688891166e-09   9.5182548084e-09   1.2106137066e-06   1.6707902941e-07   7.1718866047e-01   5.9836585952e-25  -3.2743726994e-30  -5.7097743320e-30   1.4148638531e-14   4.1435968266e-16
   1.8446944146e+03   1.2149994999e+05   8.3494961378e-04   5.0647018755e-04   4.8412148747e-03   3.9442317472e-02   5.3773287191e-03   6.7194282235e-02   1.1626717079e-05   5.1043085707e-07   2.6765640256e-12   2.0734926981e-12   5.7742894181e-12   2.6195597206e-13   3.7354091211e-12   6.3302799628e-12   6.4063342231e-02   9.9738459346e-02   2.0887979526e-07   3.9548953811e-10   1.9249682797e-13   7.8786052900e-15   8.6316671587e-14   1.9878056144e-16   2.1946184039e-14   2.4046193348e-16   9.1231078076e-16   2.1193515502e-19   1.2047797372e-20   1.5365916261e-12   2.6016139908e-11   1.1080461224e-15   1.2524243493e-07   7.1022079535e-08   3.4004223090e-08   1.9206107295e-08   2.1379727668e-08   7.9370365735e-04   1.8781609632e-07   6.6267652105e-07   9.3546731107e-08   2.0835405212e-08   4.4813513256e-06   1.6738503416e-10   5.1361007473e-15   9.6688891166e-09   9.5182548084e-09   1.2106137066e-06   1.6707902941e-07   7.1718866047e-01   5.9836585952e-25  -3.2743726994e-30  -5.7097743320e-30   1.4148638531e-14   4.1435968266e-16
   1.8454614230e+03   1.2149994999e+05   8.3494960978e-04   5.0647017348e-04   4.8412148302e-03   3.9442317692e-02   5.3773288158e-03   6.7194282344e-02   1.1626717008e-05   5.1043086124e-07   2.6765811852e-12   2.0735102201e-12   5.7743396214e-12   2.6195991512e-13   3.7355158546e-12   6.3305136568e-12   6.4063342855e-02   9.9738458358e-02   2.0887979478e-07   3.9548973790e-10   1.9249976770e-13   7.8787715715e-15   8.6318705160e-14   1.9878763583e-16   2.1947000073e-14   2.4047006927e-16   9.1233957028e-16   2.1194178594e-19   1.2048198815e-20   1.5366504065e-12   2.6017164028e-11   1.1080884890e-15   1.2524251501e-07   7.1022134434e-08   3.4004288999e-08   1.9206147350e-08   2.1379725747e-08   7.9370365257e-04   1.8781609805e-07   6.6267681245e-07   9.3546754940e-08   2.0835415228e-08   4.4813537398e-06   1.6738510504e-10   5.1361454948e-15   9.6689611420e-09   9.5182611540e-09   1.2106161653e-06   1.6707915846e-07   7.1718866047e-01   5.9836585952e-25  -3.2741921984e-30  -5.7096215349e-30   1.4149196890e-14   4.1437822216e-16
   1.8446944184e+03   1.2149994999e+05   8.3494960978e-04   5.0647017348e-04   4.8412148302e-03   3.9442317692e-02   5.3773288158e-03   6.7194282344e-02   1.1626717008e-05   5.1043086124e-07   2.6765811852e-12   2.0735102201e-12   5.7743396214e-12   2.6195991512e-13   3.7355158546e-12   6.3305136568e-12   6.4063342855e-02   9.9738458358e-02   2.0887979478e-07   3.9548973790e-10   1.9249976770e-13   7.8787715715e-15   8.6318705160e-14   1.9878763583e-16   2.1947000073e-14   2.4047006927e-16   9.1233957028e-16   2.1194178594e-19   1.2048198815e-20   1.5366504065e-12   2.6017164028e-11   1.1080884890e-15   1.2524251501e-07   7.1022134434e-08   3.4004288999e-08   1.9206147350e-08   2.1379725747e-08   7.9370365257e-04   1.8781609805e-07   6.6267681245e-07   9.3546754940e-08   2.0835415228e-08   4.4813537398e-06   1.6738510504e-10   5.1361454948e-15   9.6689611420e-09   9.5182611540e-09   1.2106161653e-06   1.6707915846e-07   7.1718866047e-01   5.9836585952e-25  -3.2741921984e-30  -5.7096215349e-30   1.4149196890e-14   4.1437822216e-16
   1.8441676705e+03   1.2149994999e+05   8.3172754455e-04   5.0458097020e-04   4.8336523761e-03   3.9583359847e-02   5.3637851208e-03   6.7246994090e-02   1.1680920694e-05   5.1232620340e-07   2.9837011752e-12   2.3618824358e-12   6.5960084877e-12   2.9537984845e-13   4.1164927594e-12   6.9173305753e-12   6.4355936568e-02   9.9278184557e-02   2.0965105619e-07   3.9878440651e-10   2.0727264741e-13   8.6534133885e-15   9.6053776147e-14   1.9343068149e-16   2.1084155703e-14   1.0611496923e-16   5.3257657777e-17   5.8625236592e-21  -6.0342337937e-22   1.6478439836e-12   2.7811133562e-11   1.1675885913e-15   1.3173758849e-07   7.4996201669e-08   3.7070657258e-08   2.1040515559e-08   2.1280594458e-08   7.9344936420e-04   1.8851609967e-07   6.9300447159e-07   9.5050825842e-08   2.1916069835e-08   4.7391309296e-06   1.7714368346e-10   5.8716804756e-15   1.1120569308e-08   1.0084030724e-08   1.3239526705e-06   1.7739188555e-07   7.1718856950e-01   8.7080434061e-25   2.3405435066e-29  -1.8232246490e-29   1.5092142742e-14   3.2125341139e-16
   1.8443035528e+03   1.2149994999e+05   8.3172754455e-04   5.0458097020e-04   4.8336523761e-03   3.9583359847e-02   5.3637851208e-03   6.7246994090e-02   1.1680920694e-05   5.1232620340e-07   2.9837011752e-12   2.3618824358e-12   6.5960084877e-12   2.9537984845e-13   4.1164927594e-12   6.9173305753e-12   6.4355936568e-02   9.9278184557e-02   2.0965105619e-07   3.9878440651e-10   2.0727264741e-13   8.6534133885e-15   9.6053776147e-14   1.9343068149e-16   2.1084155703e-14   1.0611496923e-16   5.3257657777e-17   5.8625236592e-21  -6.0342337937e-22   1.6478439836e-12   2.7811133562e-11   1.1675885913e-15   1.3173758849e-07   7.4996201669e-08   3.7070657258e-08   2.1040515559e-08   2.1280594458e-08   7.9344936420e-04   1.8851609967e-07   6.9300447159e-07   9.5050825842e-08   2.1916069835e-08   4.7391309296e-06   1.7714368346e-10   5.8716804756e-15   1.1120569308e-08   1.0084030724e-08   1.3239526705e-06   1.7739188555e-07   7.1718856950e-01   8.7080434061e-25   2.3405435066e-29  -1.8232246490e-29   1.5092142742e-14   3.2125341139e-16
