# time = 0.000400357
# Grid Points = 128
             # Temp                 # enthalpy                 # H2                 # H                 # O                 # O2                 # OH                 # H2O                 # HO2                 # H2O2                 # C                 # CH                 # CH2                 # CH2(S)                 # CH3                 # CH4                 # CO                 # CO2                 # HCO                 # CH2O                 # CH2OH                 # CH3O                 # CH3OH                 # C2H                 # C2H2                 # C2H3                 # C2H4                 # C2H5                 # C2H6                 # HCCO                 # CH2CO                 # HCCOH                 # N                 # NH                 # NH2                 # NH3                 # NNH                 # NO                 # NO2                 # N2O                 # HNO                 # CN                 # HCN                 # H2CN                 # HCNN                 # HCNO                 # HOCN                 # HNCO                 # NCO                 # N2                 # AR                 # C3H7                 # C3H8                 # CH2CHO                 # CH3CHO
   3.3044257948e+02   1.2149994999e+05   1.4364072048e-05   4.8202440114e-12   5.2418356415e-10   2.1597059496e-01   1.0559231177e-07   1.0544348044e-03   1.8422359955e-05   4.1697370502e-05   5.5505285703e-29   4.1440324229e-22   2.1703696338e-13   1.1654675530e-14   2.7492996399e-08   9.3965000434e-06   1.0915051101e-03   1.2300276283e-03   1.6651043695e-10   8.0843603725e-05   9.5075004199e-13   2.1841178051e-07   8.2309039457e-06   4.9451358046e-22   8.7304676527e-06   1.0337704726e-10   6.2837367072e-02   5.2854163734e-08   6.9859934245e-06   1.5544042817e-11   4.2289484616e-05   2.3642080132e-08   2.4935649472e-13   1.1217089991e-11   9.1490712633e-09   2.2752607739e-08   5.1331467277e-20   2.7163293466e-06   2.0220155855e-05   5.5125082858e-08   3.0449986408e-09   2.5720613801e-22   3.0587576281e-07   2.3251343134e-12   4.4777002410e-22   3.0891974871e-07   6.9116433036e-10   9.4785193187e-07   4.1689797434e-10   7.1755467985e-01  -1.7889277449e-26   6.5698440179e-10   1.4644311562e-06   9.6097298168e-09   3.9358664501e-06
   3.3044257948e+02   1.2149994999e+05   1.4364072048e-05   4.8202440114e-12   5.2418356415e-10   2.1597059496e-01   1.0559231177e-07   1.0544348044e-03   1.8422359955e-05   4.1697370502e-05   5.5505285703e-29   4.1440324229e-22   2.1703696338e-13   1.1654675530e-14   2.7492996399e-08   9.3965000434e-06   1.0915051101e-03   1.2300276283e-03   1.6651043695e-10   8.0843603725e-05   9.5075004199e-13   2.1841178051e-07   8.2309039457e-06   4.9451358046e-22   8.7304676527e-06   1.0337704726e-10   6.2837367072e-02   5.2854163734e-08   6.9859934245e-06   1.5544042817e-11   4.2289484616e-05   2.3642080132e-08   2.4935649472e-13   1.1217089991e-11   9.1490712633e-09   2.2752607739e-08   5.1331467277e-20   2.7163293466e-06   2.0220155855e-05   5.5125082858e-08   3.0449986408e-09   2.5720613801e-22   3.0587576281e-07   2.3251343134e-12   4.4777002410e-22   3.0891974871e-07   6.9116433036e-10   9.4785193187e-07   4.1689797434e-10   7.1755467985e-01  -1.7889277449e-26   6.5698440179e-10   1.4644311562e-06   9.6097298168e-09   3.9358664501e-06
   3.3024678763e+02   1.2149994999e+05   1.4266413336e-05   5.0475126177e-12   5.5027194697e-10   2.1598736126e-01   1.1094496175e-07   1.0476212659e-03   1.8194542283e-05   4.1577092733e-05   3.1691261724e-29   5.0514441035e-22   2.5495731850e-13   1.3756315494e-14   3.1121949846e-08   9.3376631708e-06   1.0844330329e-03   1.2220014460e-03   1.7349362063e-10   8.0328955597e-05   9.9418573727e-13   2.0389073033e-07   8.1736046620e-06   5.0910522707e-22   8.6724788974e-06   1.0827929444e-10   6.2844022879e-02   5.8298511846e-08   6.9366264410e-06   1.6259111314e-11   4.2136320314e-05   2.3439036908e-08   2.5609550554e-13   1.2490855487e-11   8.9719223429e-09   2.2718177408e-08   5.3405944570e-20   2.7598259445e-06   2.0000135428e-05   5.4820605128e-08   2.8999648991e-09   2.6532602657e-22   3.0398183516e-07   2.0780366875e-12   5.4663111875e-22   3.0674386399e-07   6.8655425511e-10   9.4199082848e-07   4.2490265624e-10   7.1755473057e-01  -1.9953807434e-26   6.6340489045e-10   1.4538219055e-06   9.8885260482e-09   3.9095879725e-06
   3.3024678763e+02   1.2149994999e+05   1.4266413336e-05   5.0475126177e-12   5.5027194697e-10   2.1598736126e-01   1.1094496175e-07   1.0476212659e-03   1.8194542283e-05   4.1577092733e-05   3.1691261724e-29   5.0514441035e-22   2.5495731850e-13   1.3756315494e-14   3.1121949846e-08   9.3376631708e-06   1.0844330329e-03   1.2220014460e-03   1.7349362063e-10   8.0328955597e-05   9.9418573727e-13   2.0389073033e-07   8.1736046620e-06   5.0910522707e-22   8.6724788974e-06   1.0827929444e-10   6.2844022879e-02   5.8298511846e-08   6.9366264410e-06   1.6259111314e-11   4.2136320314e-05   2.3439036908e-08   2.5609550554e-13   1.2490855487e-11   8.9719223429e-09   2.2718177408e-08   5.3405944570e-20   2.7598259445e-06   2.0000135428e-05   5.4820605128e-08   2.8999648991e-09   2.6532602657e-22   3.0398183516e-07   2.0780366875e-12   5.4663111875e-22   3.0674386399e-07   6.8655425511e-10   9.4199082848e-07   4.2490265624e-10   7.1755473057e-01  -1.9953807434e-26   6.6340489045e-10   1.4538219055e-06   9.8885260482e-09   3.9095879725e-06
   3.3028372858e+02   1.2149994999e+05   1.4266678367e-05   6.4384753896e-12   6.9734358981e-10   2.1598415758e-01   1.3971817109e-07   1.0489221448e-03   1.7932892621e-05   4.2117523825e-05  -4.6787886982e-28   1.1745680307e-21   4.6586742573e-13   2.5894464325e-14   4.6692233163e-08   9.3564178792e-06   1.0856975480e-03   1.2232670875e-03   2.1678095016e-10   8.0452006994e-05   1.2650660969e-12   1.5382360456e-07   8.1687635359e-06   6.4828081114e-22   8.6775999330e-06   1.3656084057e-10   6.2842563159e-02   8.4628723878e-08   6.9298417152e-06   2.0776340690e-11   4.2635044405e-05   2.3282845276e-08   2.8986440736e-13   2.1537521417e-11   8.5468084760e-09   2.3163908908e-08   6.8377218908e-20   3.0186612907e-06   1.9649854863e-05   5.5071234278e-08   2.4398451319e-09   3.3805370333e-22   3.0467483671e-07   1.2162775221e-12   1.2650756521e-21   3.0646957763e-07   6.8689650075e-10   9.4416705257e-07   4.7675000818e-10   7.1755471544e-01  -3.4130519844e-26   7.2611512142e-10   1.4514281920e-06   1.1955544260e-08   3.9125791012e-06
   3.3028372837e+02   1.2149994999e+05   1.4266678367e-05   6.4384753896e-12   6.9734358981e-10   2.1598415758e-01   1.3971817109e-07   1.0489221448e-03   1.7932892621e-05   4.2117523825e-05  -4.6787886982e-28   1.1745680307e-21   4.6586742573e-13   2.5894464325e-14   4.6692233163e-08   9.3564178792e-06   1.0856975480e-03   1.2232670875e-03   2.1678095016e-10   8.0452006994e-05   1.2650660969e-12   1.5382360456e-07   8.1687635359e-06   6.4828081114e-22   8.6775999330e-06   1.3656084057e-10   6.2842563159e-02   8.4628723878e-08   6.9298417152e-06   2.0776340690e-11   4.2635044405e-05   2.3282845276e-08   2.8986440736e-13   2.1537521417e-11   8.5468084760e-09   2.3163908908e-08   6.8377218908e-20   3.0186612907e-06   1.9649854863e-05   5.5071234278e-08   2.4398451319e-09   3.3805370333e-22   3.0467483671e-07   1.2162775221e-12   1.2650756521e-21   3.0646957763e-07   6.8689650075e-10   9.4416705257e-07   4.7675000818e-10   7.1755471544e-01  -3.4130519844e-26   7.2611512142e-10   1.4514281920e-06   1.1955544260e-08   3.9125791012e-06
   3.3083603769e+02   1.2149994999e+05   1.4561055939e-05   9.3544961283e-12   6.5589793379e-10   2.1593676910e-01   9.6086879780e-08   1.0681397601e-03   1.9092415091e-05   4.1827800511e-05   3.3881076629e-28   2.1006282756e-21   2.8482266198e-13   1.5840891659e-14   2.0261769247e-08   9.5150976476e-06   1.1057141232e-03   1.2462132409e-03   2.6381410408e-10   8.1866399432e-05   1.7232017127e-12   2.5613745650e-07   8.3465722991e-06   7.5567610780e-21   8.8473234500e-06   1.5281045246e-10   6.2823966110e-02   4.5353912941e-08   7.0856124343e-06   3.3546788525e-11   4.2599065484e-05   2.4051631072e-08   2.3915611520e-13   1.1393772281e-11   9.5067776278e-09   2.2822127175e-08   2.6255499918e-19   2.6720310228e-06   2.0597356667e-05   5.5724666859e-08   3.3378097011e-09   3.0704132276e-21   3.0969587314e-07   2.8158695742e-12   1.8450470863e-21   3.1330849225e-07   7.0046298006e-10   9.5967376282e-07   4.1664935661e-10   7.1755457753e-01  -1.0186732157e-26   6.8797385978e-10   1.4858379780e-06   1.4376482219e-08   3.9901571171e-06
   3.3083603769e+02   1.2149994999e+05   1.4561055939e-05   9.3544961283e-12   6.5589793379e-10   2.1593676910e-01   9.6086879780e-08   1.0681397601e-03   1.9092415091e-05   4.1827800511e-05   3.3881076629e-28   2.1006282756e-21   2.8482266198e-13   1.5840891659e-14   2.0261769247e-08   9.5150976476e-06   1.1057141232e-03   1.2462132409e-03   2.6381410408e-10   8.1866399432e-05   1.7232017127e-12   2.5613745650e-07   8.3465722991e-06   7.5567610780e-21   8.8473234500e-06   1.5281045246e-10   6.2823966110e-02   4.5353912941e-08   7.0856124343e-06   3.3546788525e-11   4.2599065484e-05   2.4051631072e-08   2.3915611520e-13   1.1393772281e-11   9.5067776278e-09   2.2822127175e-08   2.6255499918e-19   2.6720310228e-06   2.0597356667e-05   5.5724666859e-08   3.3378097011e-09   3.0704132276e-21   3.0969587314e-07   2.8158695742e-12   1.8450470863e-21   3.1330849225e-07   7.0046298006e-10   9.5967376282e-07   4.1664935661e-10   7.1755457753e-01  -1.0186732157e-26   6.8797385978e-10   1.4858379780e-06   1.4376482219e-08   3.9901571171e-06
   4.1735496605e+02   1.2149994999e+05   1.2156095476e-05   2.7465506554e-11   2.2249378188e-09   2.0895197022e-01   2.0382286848e-07   3.6146077051e-03   6.0392818567e-05   6.8684733121e-05   2.7466219066e-29   6.5339155319e-21   5.5274877199e-13   3.6942371292e-14   4.3650402737e-08   1.9639212737e-06   1.2800277531e-03   7.2316126764e-03   9.0619881046e-10   1.9126137550e-04   3.6404354971e-12   8.0224780209e-07   1.5932234955e-05   4.7853729727e-20   2.4621681023e-06   6.8667117536e-10   6.0810210173e-02   3.6965915073e-08   4.1801872383e-06   1.3860426608e-11   1.3115940913e-05   1.3731138711e-12   2.0097687112e-14   2.1573853913e-12   4.7654539638e-11   6.5209660491e-11   3.0175156743e-18   5.6348920378e-06   2.4216187396e-04   1.3510859080e-08   2.5560359068e-08   2.0466385840e-21   1.3475291054e-08   2.8181351062e-10   3.9853175706e-21   3.2955231331e-08   2.5114894023e-13   1.8079184854e-07   3.8142936285e-13   7.1748627781e-01  -1.2546130363e-26   6.7038725920e-10   1.8399461408e-06   6.2814116962e-08   4.0880601635e-06
   4.1735496605e+02   1.2149994999e+05   1.2156095476e-05   2.7465506554e-11   2.2249378188e-09   2.0895197022e-01   2.0382286848e-07   3.6146077051e-03   6.0392818567e-05   6.8684733121e-05   2.7466219066e-29   6.5339155319e-21   5.5274877199e-13   3.6942371292e-14   4.3650402737e-08   1.9639212737e-06   1.2800277531e-03   7.2316126764e-03   9.0619881046e-10   1.9126137550e-04   3.6404354971e-12   8.0224780209e-07   1.5932234955e-05   4.7853729727e-20   2.4621681023e-06   6.8667117536e-10   6.0810210173e-02   3.6965915073e-08   4.1801872383e-06   1.3860426608e-11   1.3115940913e-05   1.3731138711e-12   2.0097687112e-14   2.1573853913e-12   4.7654539638e-11   6.5209660491e-11   3.0175156743e-18   5.6348920378e-06   2.4216187396e-04   1.3510859080e-08   2.5560359068e-08   2.0466385840e-21   1.3475291054e-08   2.8181351062e-10   3.9853175706e-21   3.2955231331e-08   2.5114894023e-13   1.8079184854e-07   3.8142936285e-13   7.1748627781e-01  -1.2546130363e-26   6.7038725920e-10   1.8399461408e-06   6.2814116962e-08   4.0880601635e-06
