# time = 0.000600366
# Grid Points = 128
             # Temp                 # enthalpy                 # H2                 # H                 # O                 # O2                 # OH                 # H2O                 # HO2                 # H2O2                 # C                 # CH                 # CH2                 # CH2(S)                 # CH3                 # CH4                 # CO                 # CO2                 # HCO                 # CH2O                 # CH2OH                 # CH3O                 # CH3OH                 # C2H                 # C2H2                 # C2H3                 # C2H4                 # C2H5                 # C2H6                 # HCCO                 # CH2CO                 # HCCOH                 # N                 # NH                 # NH2                 # NH3                 # NNH                 # NO                 # NO2                 # N2O                 # HNO                 # CN                 # HCN                 # H2CN                 # HCNN                 # HCNO                 # HOCN                 # HNCO                 # NCO                 # N2                 # AR                 # C3H7                 # C3H8                 # CH2CHO                 # CH3CHO
   4.4226628783e+02   1.2149994999e+05   3.0515341610e-05   1.3874395660e-11   8.6446168955e-10   2.0665758668e-01   6.5873551151e-08   4.5538115993e-03   5.0842967828e-05   1.5542509710e-04   1.3280800700e-29   9.9725499736e-22   1.6733909209e-13   6.0951568053e-15   2.2476117885e-08   1.3414120232e-05   2.4303302439e-03   8.0517952320e-03   4.1441239150e-10   3.1070433640e-04   1.3504302480e-12   2.3858318424e-07   1.9554152101e-05   7.4420892990e-19   3.8323612697e-05   2.9358069761e-10   5.9756802267e-02   1.4171392530e-08   1.0246002057e-05   6.0789138061e-11   1.6274112888e-04   1.1510953048e-07   1.6136006267e-14   5.1305939337e-12   1.3654966529e-08   2.2910199124e-08   2.4755183039e-18   2.9630463349e-06   2.5861405743e-04   9.1654137040e-08   2.1509955435e-08   5.1462234373e-20   3.9697251620e-07   1.2853062238e-10   5.2143290716e-22   1.9829528155e-06   7.4298028273e-10   1.8996477069e-06   1.9596903446e-12   7.1748104396e-01  -1.4205321971e-24   4.8077992960e-10   3.1289197293e-06   2.7408201419e-08   7.2461890097e-06
   4.4226628753e+02   1.2149994999e+05   3.0515341610e-05   1.3874395660e-11   8.6446168955e-10   2.0665758668e-01   6.5873551151e-08   4.5538115993e-03   5.0842967828e-05   1.5542509710e-04   1.3280800700e-29   9.9725499736e-22   1.6733909209e-13   6.0951568053e-15   2.2476117885e-08   1.3414120232e-05   2.4303302439e-03   8.0517952320e-03   4.1441239150e-10   3.1070433640e-04   1.3504302480e-12   2.3858318424e-07   1.9554152101e-05   7.4420892990e-19   3.8323612697e-05   2.9358069761e-10   5.9756802267e-02   1.4171392530e-08   1.0246002057e-05   6.0789138061e-11   1.6274112888e-04   1.1510953048e-07   1.6136006267e-14   5.1305939337e-12   1.3654966529e-08   2.2910199124e-08   2.4755183039e-18   2.9630463349e-06   2.5861405743e-04   9.1654137040e-08   2.1509955435e-08   5.1462234373e-20   3.9697251620e-07   1.2853062238e-10   5.2143290716e-22   1.9829528155e-06   7.4298028273e-10   1.8996477069e-06   1.9596903446e-12   7.1748104396e-01  -1.4205321971e-24   4.8077992960e-10   3.1289197293e-06   2.7408201419e-08   7.2461890097e-06
   4.4230466715e+02   1.2149994999e+05   3.0546614617e-05   1.3858020519e-11   8.6355088488e-10   2.0665363017e-01   6.5787755068e-08   4.5550054349e-03   5.0862636454e-05   1.5583590940e-04   1.7758405013e-28   9.9794286008e-22   1.6764135131e-13   6.0788143103e-15   2.2444716189e-08   1.3418924692e-05   2.4303099025e-03   8.0540877821e-03   4.1426660921e-10   3.1125867805e-04   1.3452144048e-12   2.3833015090e-07   1.9501651965e-05   7.5039585043e-19   3.8628794532e-05   2.9331772834e-10   5.9754730516e-02   1.4150957382e-08   1.0224671920e-05   6.1166329971e-11   1.6394389494e-04   1.1615527179e-07   1.6052112052e-14   5.1262642455e-12   1.3685799650e-08   2.2865335912e-08   2.4743370501e-18   2.9616344865e-06   2.5876272987e-04   9.1822602962e-08   2.1469690164e-08   5.1503389079e-20   3.9724733208e-07   1.2729619318e-10   5.2167150488e-22   2.0017999859e-06   7.4215338611e-10   1.9069684785e-06   1.9512171020e-12   7.1748099062e-01  -1.4367822318e-24   4.7987986944e-10   3.1260654414e-06   2.7386910755e-08   7.2351066558e-06
   4.4230466691e+02   1.2149994999e+05   3.0546614617e-05   1.3858020519e-11   8.6355088488e-10   2.0665363017e-01   6.5787755068e-08   4.5550054349e-03   5.0862636454e-05   1.5583590940e-04   1.7758405013e-28   9.9794286008e-22   1.6764135131e-13   6.0788143103e-15   2.2444716189e-08   1.3418924692e-05   2.4303099025e-03   8.0540877821e-03   4.1426660921e-10   3.1125867805e-04   1.3452144048e-12   2.3833015090e-07   1.9501651965e-05   7.5039585043e-19   3.8628794532e-05   2.9331772834e-10   5.9754730516e-02   1.4150957382e-08   1.0224671920e-05   6.1166329971e-11   1.6394389494e-04   1.1615527179e-07   1.6052112052e-14   5.1262642455e-12   1.3685799650e-08   2.2865335912e-08   2.4743370501e-18   2.9616344865e-06   2.5876272987e-04   9.1822602962e-08   2.1469690164e-08   5.1503389079e-20   3.9724733208e-07   1.2729619318e-10   5.2167150488e-22   2.0017999859e-06   7.4215338611e-10   1.9069684785e-06   1.9512171020e-12   7.1748099062e-01  -1.4367822318e-24   4.7987986944e-10   3.1260654414e-06   2.7386910755e-08   7.2351066558e-06
   4.4346200239e+02   1.2149994999e+05   3.1510192600e-05   1.2195046031e-11   7.6282665455e-10   2.0653466872e-01   5.7667233684e-08   4.5909896333e-03   4.9976697966e-05   1.6927309144e-04   1.8208580466e-29   8.2170639346e-22   1.5672817525e-13   4.7902360811e-15   2.0187632904e-08   1.3570140626e-05   2.4299183725e-03   8.1224449134e-03   3.7363548205e-10   3.2832815197e-04   1.0812658361e-12   2.0797100606e-07   1.7882285343e-05   8.5936333285e-19   4.8025782506e-05   2.6027945418e-10   5.9691551364e-02   1.2286897539e-08   9.5690645625e-06   6.5989806365e-11   2.0096960668e-04   1.4835283988e-07   1.1350446029e-14   4.8947424496e-12   1.4636273448e-08   2.1494215868e-08   2.2240127698e-18   2.7279158877e-06   2.6354649894e-04   9.7026099216e-08   2.0205412389e-08   4.8119937394e-20   4.0582093343e-07   8.9217069894e-11   4.2655052191e-22   2.5820350879e-06   7.1697178229e-10   2.1326097135e-06   1.3545172122e-12   7.1747937400e-01  -1.9354068242e-24   4.2998827176e-10   3.0380126181e-06   2.4361907832e-08   6.8919259168e-06
   4.4346200239e+02   1.2149994999e+05   3.1510192600e-05   1.2195046031e-11   7.6282665455e-10   2.0653466872e-01   5.7667233684e-08   4.5909896333e-03   4.9976697966e-05   1.6927309144e-04   1.8208580466e-29   8.2170639346e-22   1.5672817525e-13   4.7902360811e-15   2.0187632904e-08   1.3570140626e-05   2.4299183725e-03   8.1224449134e-03   3.7363548205e-10   3.2832815197e-04   1.0812658361e-12   2.0797100606e-07   1.7882285343e-05   8.5936333285e-19   4.8025782506e-05   2.6027945418e-10   5.9691551364e-02   1.2286897539e-08   9.5690645625e-06   6.5989806365e-11   2.0096960668e-04   1.4835283988e-07   1.1350446029e-14   4.8947424496e-12   1.4636273448e-08   2.1494215868e-08   2.2240127698e-18   2.7279158877e-06   2.6354649894e-04   9.7026099216e-08   2.0205412389e-08   4.8119937394e-20   4.0582093343e-07   8.9217069894e-11   4.2655052191e-22   2.5820350879e-06   7.1697178229e-10   2.1326097135e-06   1.3545172122e-12   7.1747937400e-01  -1.9354068242e-24   4.2998827176e-10   3.0380126181e-06   2.4361907832e-08   6.8919259168e-06
   4.4347723120e+02   1.2149994999e+05   3.1522353286e-05   1.2189097646e-11   7.6249059730e-10   2.0653310474e-01   5.7636166655e-08   4.5914632018e-03   4.9983861769e-05   1.6943333179e-04   3.9592299540e-29   8.2182927123e-22   1.5682698850e-13   4.7849227182e-15   2.0176182787e-08   1.3571982083e-05   2.4299109005e-03   8.1233583409e-03   3.7356934381e-10   3.2854418064e-04   1.0795059014e-12   2.0787163805e-07   1.7861881280e-05   8.6158524113e-19   4.8144528540e-05   2.6018108408e-10   5.9690738093e-02   1.2279451979e-08   9.5607523445e-06   6.6111180520e-11   2.0143757326e-04   1.4875973211e-07   1.1322186407e-14   4.8929202830e-12   1.4648236312e-08   2.1476673315e-08   2.2235445069e-18   2.7273410641e-06   2.6360520231e-04   9.7091500562e-08   2.0189832717e-08   4.8133331135e-20   4.0592678652e-07   8.8737724354e-11   4.2657554136e-22   2.5893689916e-06   7.1664737328e-10   2.1354558975e-06   1.3524342265e-12   7.1747935300e-01  -1.9418449971e-24   4.2966757092e-10   3.0369029302e-06   2.4353719566e-08   6.8876137491e-06
   4.4347723116e+02   1.2149994999e+05   3.1522353286e-05   1.2189097646e-11   7.6249059730e-10   2.0653310474e-01   5.7636166655e-08   4.5914632018e-03   4.9983861769e-05   1.6943333179e-04   3.9592299540e-29   8.2182927123e-22   1.5682698850e-13   4.7849227182e-15   2.0176182787e-08   1.3571982083e-05   2.4299109005e-03   8.1233583409e-03   3.7356934381e-10   3.2854418064e-04   1.0795059014e-12   2.0787163805e-07   1.7861881280e-05   8.6158524113e-19   4.8144528540e-05   2.6018108408e-10   5.9690738093e-02   1.2279451979e-08   9.5607523445e-06   6.6111180520e-11   2.0143757326e-04   1.4875973211e-07   1.1322186407e-14   4.8929202830e-12   1.4648236312e-08   2.1476673315e-08   2.2235445069e-18   2.7273410641e-06   2.6360520231e-04   9.7091500562e-08   2.0189832717e-08   4.8133331135e-20   4.0592678652e-07   8.8737724354e-11   4.2657554136e-22   2.5893689916e-06   7.1664737328e-10   2.1354558975e-06   1.3524342265e-12   7.1747935300e-01  -1.9418449971e-24   4.2966757092e-10   3.0369029302e-06   2.4353719566e-08   6.8876137491e-06
   4.2601345028e+02   1.2149994999e+05   3.3233986437e-05   9.9434187239e-12   6.1126684287e-10   2.0796953587e-01   5.2230793984e-08   4.0955752421e-03   4.4522649008e-05   1.5376559724e-04  -5.7703165907e-29   4.6327131237e-22   1.1077210275e-13   3.7092530846e-15   1.7220090681e-08   1.6885892626e-05   2.5798068806e-03   6.7612032954e-03   2.8867016570e-10   2.9424792070e-04   1.0517965915e-12   1.8564370984e-07   1.9602977710e-05   2.8602938787e-19   3.8224326290e-05   1.9351208735e-10   6.0093847411e-02   1.1328084499e-08   1.2399495804e-05   4.6131950595e-11   1.6482299430e-04   1.1378362604e-07   1.7283230904e-14   3.7629360358e-12   1.7039195117e-08   3.3059951656e-08   1.3002301405e-18   2.4107925180e-06   2.0627906621e-04   1.1014101378e-07   1.6797875982e-08   2.8785741626e-20   5.2009956080e-07   6.5702954456e-11   2.6798959234e-22   1.9059513839e-06   1.0430492798e-09   2.1791204817e-06   3.2967929970e-12   7.1749708529e-01  -1.1885541255e-24   3.6161250752e-10   3.3226716782e-06   1.7864012369e-08   8.0465449986e-06
   4.2601344988e+02   1.2149994999e+05   3.3233986437e-05   9.9434187239e-12   6.1126684287e-10   2.0796953587e-01   5.2230793984e-08   4.0955752421e-03   4.4522649008e-05   1.5376559724e-04  -5.7703165907e-29   4.6327131237e-22   1.1077210275e-13   3.7092530846e-15   1.7220090681e-08   1.6885892626e-05   2.5798068806e-03   6.7612032954e-03   2.8867016570e-10   2.9424792070e-04   1.0517965915e-12   1.8564370984e-07   1.9602977710e-05   2.8602938787e-19   3.8224326290e-05   1.9351208735e-10   6.0093847411e-02   1.1328084499e-08   1.2399495804e-05   4.6131950595e-11   1.6482299430e-04   1.1378362604e-07   1.7283230904e-14   3.7629360358e-12   1.7039195117e-08   3.3059951656e-08   1.3002301405e-18   2.4107925180e-06   2.0627906621e-04   1.1014101378e-07   1.6797875982e-08   2.8785741626e-20   5.2009956080e-07   6.5702954456e-11   2.6798959234e-22   1.9059513839e-06   1.0430492798e-09   2.1791204817e-06   3.2967929970e-12   7.1749708529e-01  -1.1885541255e-24   3.6161250752e-10   3.3226716782e-06   1.7864012369e-08   8.0465449986e-06
