# time = 0.000100182
# Grid Points = 128
             # Temp                 # enthalpy                 # H2                 # H                 # O                 # O2                 # OH                 # H2O                 # HO2                 # H2O2                 # C                 # CH                 # CH2                 # CH2(S)                 # CH3                 # CH4                 # CO                 # CO2                 # HCO                 # CH2O                 # CH2OH                 # CH3O                 # CH3OH                 # C2H                 # C2H2                 # C2H3                 # C2H4                 # C2H5                 # C2H6                 # HCCO                 # CH2CO                 # HCCOH                 # N                 # NH                 # NH2                 # NH3                 # NNH                 # NO                 # NO2                 # N2O                 # HNO                 # CN                 # HCN                 # H2CN                 # HCNN                 # HCNO                 # HOCN                 # HNCO                 # NCO                 # N2                 # AR                 # C3H7                 # C3H8                 # CH2CHO                 # CH3CHO
   1.8184800273e+03   1.2149994999e+05   7.5537501416e-04   4.4946164624e-04   4.5452305523e-03   4.3128516248e-02   5.0016021154e-03   6.8607031624e-02   1.2979967131e-05   5.4995166222e-07   2.8419068099e-10   3.2321383458e-10   9.6346260105e-10   1.7683243658e-10   6.9864684901e-09   1.7558820902e-08   7.1547552473e-02   8.7950816945e-02   2.2688705194e-07   1.1134676898e-08   1.7520457893e-10   1.0873255364e-11   1.3876279115e-10   3.8497459343e-12   4.9287447428e-10   2.9860975558e-11   1.9641181667e-10   4.8544850315e-14   3.5026134011e-15   4.2560318615e-09   7.5334051448e-08   6.4702179419e-12   4.6015527942e-07   2.9784477737e-07   2.9691537833e-07   1.8998178596e-07   1.8590503243e-08   7.9009219271e-04   2.0728468967e-07   1.9651856064e-06   1.9992153927e-07   6.2321383671e-08   1.5339741320e-05   5.6414754503e-10   9.2126920405e-13   4.3113855164e-07   3.6546714720e-08   1.1359609704e-05   7.0092994705e-07   7.1717927097e-01   8.2116712235e-26   9.0737909913e-22   1.0267065299e-21   4.6595907465e-11   1.1850639975e-11
   1.8184352607e+03   1.2149994999e+05   7.5537501416e-04   4.4946164624e-04   4.5452305523e-03   4.3128516248e-02   5.0016021154e-03   6.8607031624e-02   1.2979967131e-05   5.4995166222e-07   2.8419068099e-10   3.2321383458e-10   9.6346260105e-10   1.7683243658e-10   6.9864684901e-09   1.7558820902e-08   7.1547552473e-02   8.7950816945e-02   2.2688705194e-07   1.1134676898e-08   1.7520457893e-10   1.0873255364e-11   1.3876279115e-10   3.8497459343e-12   4.9287447428e-10   2.9860975558e-11   1.9641181667e-10   4.8544850315e-14   3.5026134011e-15   4.2560318615e-09   7.5334051448e-08   6.4702179419e-12   4.6015527942e-07   2.9784477737e-07   2.9691537833e-07   1.8998178596e-07   1.8590503243e-08   7.9009219271e-04   2.0728468967e-07   1.9651856064e-06   1.9992153927e-07   6.2321383671e-08   1.5339741320e-05   5.6414754503e-10   9.2126920405e-13   4.3113855164e-07   3.6546714720e-08   1.1359609704e-05   7.0092994705e-07   7.1717927097e-01   8.2116712235e-26   9.0737909913e-22   1.0267065299e-21   4.6595907465e-11   1.1850639975e-11
   1.8184352607e+03   1.2149994999e+05   7.5537677047e-04   4.4946045097e-04   4.5452195064e-03   4.3128552029e-02   5.0016074281e-03   6.8607023336e-02   1.2979882734e-05   5.4993205507e-07   2.8443883441e-10   3.2350881086e-10   9.6435392652e-10   1.7702059066e-10   6.9939497186e-09   1.7577406462e-08   7.1547588718e-02   8.7950758088e-02   2.2688760475e-07   1.1145950997e-08   1.7539113983e-10   1.0885019924e-11   1.3891266701e-10   3.8588740764e-12   4.9405029458e-10   2.9937159350e-11   1.9691948380e-10   4.8669690555e-14   3.5121550241e-15   4.2608702819e-09   7.5417650430e-08   6.4825422073e-12   4.6017056085e-07   2.9785903197e-07   2.9693970803e-07   1.9000015369e-07   1.8590633373e-08   7.9009100365e-04   2.0728331882e-07   1.9652160120e-06   1.9992884809e-07   6.2323423932e-08   1.5340062311e-05   5.6414448111e-10   9.2210113846e-13   4.3124607891e-07   3.6548102342e-08   1.1360538722e-05   7.0096190142e-07   7.1717927092e-01   8.2107807939e-26   9.1188483846e-22   1.0318188077e-21   4.6651908924e-11   1.1874188548e-11
   1.8183993246e+03   1.2149994999e+05   7.5537677047e-04   4.4946045097e-04   4.5452195064e-03   4.3128552029e-02   5.0016074281e-03   6.8607023336e-02   1.2979882734e-05   5.4993205507e-07   2.8443883441e-10   3.2350881086e-10   9.6435392652e-10   1.7702059066e-10   6.9939497186e-09   1.7577406462e-08   7.1547588718e-02   8.7950758088e-02   2.2688760475e-07   1.1145950997e-08   1.7539113983e-10   1.0885019924e-11   1.3891266701e-10   3.8588740764e-12   4.9405029458e-10   2.9937159350e-11   1.9691948380e-10   4.8669690555e-14   3.5121550241e-15   4.2608702819e-09   7.5417650430e-08   6.4825422073e-12   4.6017056085e-07   2.9785903197e-07   2.9693970803e-07   1.9000015369e-07   1.8590633373e-08   7.9009100365e-04   2.0728331882e-07   1.9652160120e-06   1.9992884809e-07   6.2323423932e-08   1.5340062311e-05   5.6414448111e-10   9.2210113846e-13   4.3124607891e-07   3.6548102342e-08   1.1360538722e-05   7.0096190142e-07   7.1717927092e-01   8.2107807939e-26   9.1188483846e-22   1.0318188077e-21   4.6651908924e-11   1.1874188548e-11
   1.8154322136e+03   1.2149994999e+05   7.4349185708e-04   4.3531131296e-04   4.4436243769e-03   4.3926637826e-02   4.9113091893e-03   6.8884593075e-02   1.3247388356e-05   5.5407511862e-07   8.9844662687e-10   1.0729147429e-09   3.2737527599e-09   6.4588832114e-10   2.5996253620e-08   6.5474932466e-08   7.3031799975e-02   8.5607038844e-02   2.3651948783e-07   4.0387063527e-08   6.4958716852e-10   4.1217869574e-11   5.3678427107e-10   2.8457252815e-11   3.7970950216e-09   2.3976456720e-10   1.6369513694e-09   4.1114266996e-13   3.3856410264e-14   1.6621809133e-08   2.9018518921e-07   4.0297710643e-11   5.7637367361e-07   3.8562344561e-07   4.2271018736e-07   2.7995962549e-07   1.7948901064e-08   7.8193434519e-04   2.0903529571e-07   2.3322552358e-06   2.4698576302e-07   7.3428483541e-08   1.8581438200e-05   6.7426989577e-10   3.1515063984e-12   8.0803866760e-07   4.5800356221e-08   1.6341475255e-05   8.9546127805e-07   7.1717894365e-01   8.2928378031e-26   3.8047084846e-20   4.6399017951e-20   1.9793744343e-10   7.4413044342e-11
   1.8130502855e+03   1.2149994999e+05   7.4349185708e-04   4.3531131296e-04   4.4436243769e-03   4.3926637826e-02   4.9113091893e-03   6.8884593075e-02   1.3247388356e-05   5.5407511862e-07   8.9844662687e-10   1.0729147429e-09   3.2737527599e-09   6.4588832114e-10   2.5996253620e-08   6.5474932466e-08   7.3031799975e-02   8.5607038844e-02   2.3651948783e-07   4.0387063527e-08   6.4958716852e-10   4.1217869574e-11   5.3678427107e-10   2.8457252815e-11   3.7970950216e-09   2.3976456720e-10   1.6369513694e-09   4.1114266996e-13   3.3856410264e-14   1.6621809133e-08   2.9018518921e-07   4.0297710643e-11   5.7637367361e-07   3.8562344561e-07   4.2271018736e-07   2.7995962549e-07   1.7948901064e-08   7.8193434519e-04   2.0903529571e-07   2.3322552358e-06   2.4698576302e-07   7.3428483541e-08   1.8581438200e-05   6.7426989577e-10   3.1515063984e-12   8.0803866760e-07   4.5800356221e-08   1.6341475255e-05   8.9546127805e-07   7.1717894365e-01   8.2928378031e-26   3.8047084846e-20   4.6399017951e-20   1.9793744343e-10   7.4413044342e-11
   1.8179741565e+03   1.2149994999e+05   7.5352628584e-04   4.4754270323e-04   4.5323256657e-03   4.3236081326e-02   4.9897346031e-03   6.8646635529e-02   1.3015468972e-05   5.5056664191e-07   3.3361679245e-10   3.8170378699e-10   1.1406742830e-09   2.1254161204e-10   8.4256236249e-09   2.1181246889e-08   7.1753068183e-02   8.7626474677e-02   2.2772136465e-07   1.3330131524e-08   2.1110936571e-10   1.3132886296e-11   1.6795097519e-10   5.1117996393e-12   6.5675557874e-10   4.0213465415e-11   2.6543224200e-10   6.5659394884e-14   4.7860983135e-15   5.1644098000e-09   9.1288130568e-08   8.3208921634e-12   4.7508348924e-07   3.0890201652e-07   3.1225732063e-07   2.0064528075e-07   1.8503172735e-08   7.8906460789e-04   2.0756625088e-07   2.0139825011e-06   2.0569649229e-07   6.3820625415e-08   1.5764916705e-05   5.7869889965e-10   1.0918883768e-12   4.7147576806e-07   3.7735862479e-08   1.1964731338e-05   7.2570978086e-07   7.1717922961e-01   8.2384027782e-26   1.4067350199e-21   1.5838937226e-21   5.7032291683e-11   1.5386184319e-11
   1.8182941524e+03   1.2149994999e+05   7.5352628584e-04   4.4754270323e-04   4.5323256657e-03   4.3236081326e-02   4.9897346031e-03   6.8646635529e-02   1.3015468972e-05   5.5056664191e-07   3.3361679245e-10   3.8170378699e-10   1.1406742830e-09   2.1254161204e-10   8.4256236249e-09   2.1181246889e-08   7.1753068183e-02   8.7626474677e-02   2.2772136465e-07   1.3330131524e-08   2.1110936571e-10   1.3132886296e-11   1.6795097519e-10   5.1117996393e-12   6.5675557874e-10   4.0213465415e-11   2.6543224200e-10   6.5659394884e-14   4.7860983135e-15   5.1644098000e-09   9.1288130568e-08   8.3208921634e-12   4.7508348924e-07   3.0890201652e-07   3.1225732063e-07   2.0064528075e-07   1.8503172735e-08   7.8906460789e-04   2.0756625088e-07   2.0139825011e-06   2.0569649229e-07   6.3820625415e-08   1.5764916705e-05   5.7869889965e-10   1.0918883768e-12   4.7147576806e-07   3.7735862479e-08   1.1964731338e-05   7.2570978086e-07   7.1717922961e-01   8.2384027782e-26   1.4067350199e-21   1.5838937226e-21   5.7032291683e-11   1.5386184319e-11
   1.8179858696e+03   1.2149994999e+05   7.5342794846e-04   4.4738535921e-04   4.5317118103e-03   4.3242112349e-02   4.9901075042e-03   6.8648704531e-02   1.3012863829e-05   5.5016608467e-07   3.3365703969e-10   3.8200944109e-10   1.1420420653e-09   2.1265289152e-10   8.4333589565e-09   2.1176297184e-08   7.1766242670e-02   8.7605692078e-02   2.2764115737e-07   1.3328317493e-08   2.1109153031e-10   1.3123974382e-11   1.6744505418e-10   5.0125462374e-12   6.3914742189e-10   3.9052561542e-11   2.5672834375e-10   6.2933513322e-14   4.5737950022e-15   5.1641965350e-09   9.1240533779e-08   8.2011982636e-12   4.7607720421e-07   3.0966892952e-07   3.1323989665e-07   2.0127943420e-07   1.8498885751e-08   7.8900237671e-04   2.0755752702e-07   2.0169482472e-06   2.0604923969e-07   6.3963175879e-08   1.5790713380e-05   5.7892958313e-10   1.0891087057e-12   4.7361498290e-07   3.7833120567e-08   1.2000656908e-05   7.2762982352e-07   7.1717922701e-01   8.2067122711e-26   1.2331630392e-21   1.3362654902e-21   5.6527072100e-11   1.5149632012e-11
   1.8178859574e+03   1.2149994999e+05   7.5342794846e-04   4.4738535921e-04   4.5317118103e-03   4.3242112349e-02   4.9901075042e-03   6.8648704531e-02   1.3012863829e-05   5.5016608467e-07   3.3365703969e-10   3.8200944109e-10   1.1420420653e-09   2.1265289152e-10   8.4333589565e-09   2.1176297184e-08   7.1766242670e-02   8.7605692078e-02   2.2764115737e-07   1.3328317493e-08   2.1109153031e-10   1.3123974382e-11   1.6744505418e-10   5.0125462374e-12   6.3914742189e-10   3.9052561542e-11   2.5672834375e-10   6.2933513322e-14   4.5737950022e-15   5.1641965350e-09   9.1240533779e-08   8.2011982636e-12   4.7607720421e-07   3.0966892952e-07   3.1323989665e-07   2.0127943420e-07   1.8498885751e-08   7.8900237671e-04   2.0755752702e-07   2.0169482472e-06   2.0604923969e-07   6.3963175879e-08   1.5790713380e-05   5.7892958313e-10   1.0891087057e-12   4.7361498290e-07   3.7833120567e-08   1.2000656908e-05   7.2762982352e-07   7.1717922701e-01   8.2067122711e-26   1.2331630392e-21   1.3362654902e-21   5.6527072100e-11   1.5149632012e-11
