# time = 4.00734e-05
# Grid Points = 128
             # Temp                 # enthalpy                 # H2                 # H                 # O                 # O2                 # OH                 # H2O                 # HO2                 # H2O2                 # C                 # CH                 # CH2                 # CH2(S)                 # CH3                 # CH4                 # CO                 # CO2                 # HCO                 # CH2O                 # CH2OH                 # CH3O                 # CH3OH                 # C2H                 # C2H2                 # C2H3                 # C2H4                 # C2H5                 # C2H6                 # HCCO                 # CH2CO                 # HCCOH                 # N                 # NH                 # NH2                 # NH3                 # NNH                 # NO                 # NO2                 # N2O                 # HNO                 # CN                 # HCN                 # H2CN                 # HCNN                 # HCNO                 # HOCN                 # HNCO                 # NCO                 # N2                 # AR                 # C3H7                 # C3H8                 # CH2CHO                 # CH3CHO
   1.4115482259e+03   1.2149994999e+05   9.2750688749e-04   5.8423629597e-05   2.2494811924e-04   1.0632692061e-01   8.2065715710e-04   4.4529965757e-02   5.9180124031e-04   2.1898858605e-05   2.8929108565e-08   5.2915013011e-07   1.4380386865e-05   1.1233410156e-06   4.2299652431e-04   3.5906467073e-04   4.2517053097e-02   6.0798646345e-02   9.5692948064e-05   1.1120295584e-03   6.1594102054e-06   1.6113762613e-05   6.2447111163e-05   3.5536396727e-07   1.2243544912e-03   2.3295247851e-04   1.7840093531e-02   1.8692017406e-05   5.5083618437e-05   8.9655563539e-05   3.1466800493e-03   2.7195354147e-06   2.8363366691e-07   7.6554769852e-07   2.4389383395e-06   1.7828893117e-06   1.6447749069e-09   9.6919237822e-04   9.4465159195e-06   4.8970129487e-06   7.5940311700e-07   7.5605253272e-09   4.2822909721e-05   4.3064578033e-08   7.9278988708e-09   6.9463577660e-05   6.7057124578e-08   1.2383625963e-04   1.3081729881e-06   7.1701376332e-01  -1.4840688627e-24   1.5962704437e-07   2.9258432016e-06   1.9121948380e-04   4.5926011219e-05
   1.4115482154e+03   1.2149994999e+05   9.2750688749e-04   5.8423629597e-05   2.2494811924e-04   1.0632692061e-01   8.2065715710e-04   4.4529965757e-02   5.9180124031e-04   2.1898858605e-05   2.8929108565e-08   5.2915013011e-07   1.4380386865e-05   1.1233410156e-06   4.2299652431e-04   3.5906467073e-04   4.2517053097e-02   6.0798646345e-02   9.5692948064e-05   1.1120295584e-03   6.1594102054e-06   1.6113762613e-05   6.2447111163e-05   3.5536396727e-07   1.2243544912e-03   2.3295247851e-04   1.7840093531e-02   1.8692017406e-05   5.5083618437e-05   8.9655563539e-05   3.1466800493e-03   2.7195354147e-06   2.8363366691e-07   7.6554769852e-07   2.4389383395e-06   1.7828893117e-06   1.6447749069e-09   9.6919237822e-04   9.4465159195e-06   4.8970129487e-06   7.5940311700e-07   7.5605253272e-09   4.2822909721e-05   4.3064578033e-08   7.9278988708e-09   6.9463577660e-05   6.7057124578e-08   1.2383625963e-04   1.3081729881e-06   7.1701376332e-01  -1.4840688627e-24   1.5962704437e-07   2.9258432016e-06   1.9121948380e-04   4.5926011219e-05
   1.0384784022e+03   1.2149994999e+05   7.5486912164e-04   3.0232775813e-05   1.1585511287e-04   1.2712732740e-01   4.4999515589e-04   3.6112707957e-02   6.7408869435e-04   4.2792492669e-05   1.3959462214e-08   2.5869910443e-07   7.4008539583e-06   5.6886767055e-07   2.6025679878e-04   3.6473212761e-04   3.3030573245e-02   5.0363498711e-02   5.0937632925e-05   1.2702334573e-03   3.3118054870e-06   2.9821054265e-05   8.1421576457e-05   1.8264288247e-07   1.2172529186e-03   1.2036840667e-04   2.6030590210e-02   3.7140447899e-05   9.3663820469e-05   4.8958919655e-05   3.2262847601e-03   2.9879773481e-06   1.3964756609e-07   4.2867780425e-07   1.7444362796e-06   1.2054196892e-06   8.3448709041e-10   8.0600954076e-04   4.8786595404e-05   3.3601166920e-06   6.2748262820e-07   3.7891836150e-09   2.7096892543e-05   2.2841026240e-08   3.8496909698e-09   8.0317472695e-05   4.0649079705e-08   1.0051574401e-04   8.3082125238e-07   7.1709293096e-01  -3.6530706101e-24   2.8850374411e-07   1.0223210919e-05   2.3055819316e-04   4.6636300210e-05
   1.4151225148e+03   1.2149994999e+05   7.5486912164e-04   3.0232775813e-05   1.1585511287e-04   1.2712732740e-01   4.4999515589e-04   3.6112707957e-02   6.7408869435e-04   4.2792492669e-05   1.3959462214e-08   2.5869910443e-07   7.4008539583e-06   5.6886767055e-07   2.6025679878e-04   3.6473212761e-04   3.3030573245e-02   5.0363498711e-02   5.0937632925e-05   1.2702334573e-03   3.3118054870e-06   2.9821054265e-05   8.1421576457e-05   1.8264288247e-07   1.2172529186e-03   1.2036840667e-04   2.6030590210e-02   3.7140447899e-05   9.3663820469e-05   4.8958919655e-05   3.2262847601e-03   2.9879773481e-06   1.3964756609e-07   4.2867780425e-07   1.7444362796e-06   1.2054196892e-06   8.3448709041e-10   8.0600954076e-04   4.8786595404e-05   3.3601166920e-06   6.2748262820e-07   3.7891836150e-09   2.7096892543e-05   2.2841026240e-08   3.8496909698e-09   8.0317472695e-05   4.0649079705e-08   1.0051574401e-04   8.3082125238e-07   7.1709293096e-01  -3.6530706101e-24   2.8850374411e-07   1.0223210919e-05   2.3055819316e-04   4.6636300210e-05
   1.0384783992e+03   1.2149994999e+05   7.5486912164e-04   3.0232775811e-05   1.1585511287e-04   1.2712732740e-01   4.4999515591e-04   3.6112707957e-02   6.7408869434e-04   4.2792492670e-05   1.3959462213e-08   2.5869910442e-07   7.4008539584e-06   5.6886767055e-07   2.6025679881e-04   3.6473212760e-04   3.3030573245e-02   5.0363498711e-02   5.0937632928e-05   1.2702334572e-03   3.3118054872e-06   2.9821054290e-05   8.1421576449e-05   1.8264288246e-07   1.2172529186e-03   1.2036840667e-04   2.6030590210e-02   3.7140447894e-05   9.3663820459e-05   4.8958919657e-05   3.2262847601e-03   2.9879773481e-06   1.3964756609e-07   4.2867780427e-07   1.7444362796e-06   1.2054196892e-06   8.3448709029e-10   8.0600954076e-04   4.8786595404e-05   3.3601166920e-06   6.2748262818e-07   3.7891836148e-09   2.7096892543e-05   2.2841026248e-08   3.8496909696e-09   8.0317472695e-05   4.0649079705e-08   1.0051574401e-04   8.3082125239e-07   7.1709293096e-01  -1.9659231308e-24   2.8850374521e-07   1.0223210917e-05   2.3055819321e-04   4.6636300208e-05
   1.4151225146e+03   1.2149994999e+05   7.5486912164e-04   3.0232775811e-05   1.1585511287e-04   1.2712732740e-01   4.4999515591e-04   3.6112707957e-02   6.7408869434e-04   4.2792492670e-05   1.3959462213e-08   2.5869910442e-07   7.4008539584e-06   5.6886767055e-07   2.6025679881e-04   3.6473212760e-04   3.3030573245e-02   5.0363498711e-02   5.0937632928e-05   1.2702334572e-03   3.3118054872e-06   2.9821054290e-05   8.1421576449e-05   1.8264288246e-07   1.2172529186e-03   1.2036840667e-04   2.6030590210e-02   3.7140447894e-05   9.3663820459e-05   4.8958919657e-05   3.2262847601e-03   2.9879773481e-06   1.3964756609e-07   4.2867780427e-07   1.7444362796e-06   1.2054196892e-06   8.3448709029e-10   8.0600954076e-04   4.8786595404e-05   3.3601166920e-06   6.2748262818e-07   3.7891836148e-09   2.7096892543e-05   2.2841026248e-08   3.8496909696e-09   8.0317472695e-05   4.0649079705e-08   1.0051574401e-04   8.3082125239e-07   7.1709293096e-01  -1.9659231308e-24   2.8850374521e-07   1.0223210917e-05   2.3055819321e-04   4.6636300208e-05
   1.3429362926e+03   1.2149994999e+05   6.7205170414e-04   4.5269157664e-05   1.4891970495e-04   1.2674072959e-01   7.8676886087e-04   3.6120448941e-02   7.1178180081e-04   2.2239608675e-05   1.2363663689e-08   3.1639163830e-07   1.1891599493e-05   8.7597577581e-07   3.8416325533e-04   3.3167057847e-04   3.3113395924e-02   5.1207803522e-02   8.1924578182e-05   1.0299426068e-03   8.1840695118e-06   3.2125360755e-05   7.7185322717e-05   1.0237964385e-07   8.9942139999e-04   1.7161009584e-04   2.6934226086e-02   4.7004155583e-05   6.4097881984e-05   3.8707952117e-05   1.7993648484e-03   2.2896515155e-06   2.8183634129e-07   5.2726288491e-07   1.3575320785e-06   1.1329279248e-06   9.5824309726e-10   8.3763407173e-04   1.0462936778e-05   4.5329636328e-06   6.2638517495e-07   2.8380336101e-09   3.6973701858e-05   1.6293174397e-07   8.0621262305e-09   2.5930552883e-05   6.7187451319e-08   6.9422194961e-05   8.7720598580e-07   7.1711186746e-01   2.7801031195e-24   2.8066671623e-07   3.3794881840e-06   3.5572412610e-04   5.4228803335e-05
   1.1149316252e+03   1.2149994999e+05   6.7205170414e-04   4.5269157664e-05   1.4891970495e-04   1.2674072959e-01   7.8676886087e-04   3.6120448941e-02   7.1178180081e-04   2.2239608675e-05   1.2363663689e-08   3.1639163830e-07   1.1891599493e-05   8.7597577581e-07   3.8416325533e-04   3.3167057847e-04   3.3113395924e-02   5.1207803522e-02   8.1924578182e-05   1.0299426068e-03   8.1840695118e-06   3.2125360755e-05   7.7185322717e-05   1.0237964385e-07   8.9942139999e-04   1.7161009584e-04   2.6934226086e-02   4.7004155583e-05   6.4097881984e-05   3.8707952117e-05   1.7993648484e-03   2.2896515155e-06   2.8183634129e-07   5.2726288491e-07   1.3575320785e-06   1.1329279248e-06   9.5824309726e-10   8.3763407173e-04   1.0462936778e-05   4.5329636328e-06   6.2638517495e-07   2.8380336101e-09   3.6973701858e-05   1.6293174397e-07   8.0621262305e-09   2.5930552883e-05   6.7187451319e-08   6.9422194961e-05   8.7720598580e-07   7.1711186746e-01   2.7801031195e-24   2.8066671623e-07   3.3794881840e-06   3.5572412610e-04   5.4228803335e-05
   3.0000000000e+02   1.2149994999e+05   8.4774170233e-57   7.1357326048e-69   2.0698994330e-66   2.1856283676e-01   2.3717608630e-65   7.0558823249e-66   2.4280237813e-64  8.0173947305e-125  -1.5690640354e-86  -1.2509884824e-87  1.3956384963e-110  7.6242295768e-118   5.1422800314e-65   1.3017300891e-71   1.8119644125e-64   1.8319544358e-96   9.5617088663e-68   3.1036255603e-65  8.6426804345e-129   3.5656593089e-83  1.9995646139e-124  1.1726179353e-130   1.0949155975e-55   1.3390490021e-68   6.3874427802e-02   4.7640497046e-66  1.9846617468e-124  2.1367078178e-121   1.8360109978e-81  1.9230129942e-127   2.5860390479e-99  2.0702109907e-132  6.9365153533e-170  5.5193552987e-227   2.3699147337e-77  6.9616342333e-101  9.9750027537e-132   2.3109907955e-64  5.0158055998e-136  8.4701465940e-119   3.5730070372e-98  2.2542243405e-158  -1.5148139747e-87  1.0841551848e-200  4.1515935942e-170  7.2265204930e-167 -3.4986863516e-114   7.1756273544e-01   0.0000000000e+00   1.3718635912e-68  5.0238057282e-126   7.7377121529e-66  5.1117882165e-125
   3.0000000000e+02   1.2149994999e+05   8.4774170233e-57   7.1357326048e-69   2.0698994330e-66   2.1856283676e-01   2.3717608630e-65   7.0558823249e-66   2.4280237813e-64  8.0173947305e-125  -1.5690640354e-86  -1.2509884824e-87  1.3956384963e-110  7.6242295768e-118   5.1422800314e-65   1.3017300891e-71   1.8119644125e-64   1.8319544358e-96   9.5617088663e-68   3.1036255603e-65  8.6426804345e-129   3.5656593089e-83  1.9995646139e-124  1.1726179353e-130   1.0949155975e-55   1.3390490021e-68   6.3874427802e-02   4.7640497046e-66  1.9846617468e-124  2.1367078178e-121   1.8360109978e-81  1.9230129942e-127   2.5860390479e-99  2.0702109907e-132  6.9365153533e-170  5.5193552987e-227   2.3699147337e-77  6.9616342333e-101  9.9750027537e-132   2.3109907955e-64  5.0158055998e-136  8.4701465940e-119   3.5730070372e-98  2.2542243405e-158  -1.5148139747e-87  1.0841551848e-200  4.1515935942e-170  7.2265204930e-167 -3.4986863516e-114   7.1756273544e-01   0.0000000000e+00   1.3718635912e-68  5.0238057282e-126   7.7377121529e-66  5.1117882165e-125
