# time = 60
# Grid Points = 1024
                 # mixf_00                 # mixf_01                 # mixf_02
   2.5000000000e-01   3.8005474917e-01   4.1577001230e-01
   2.5000000000e-01   3.8005474917e-01   4.1577001230e-01
   2.5000000000e-01   3.8005474917e-01   4.1577001230e-01
   2.5000000000e-01   3.8005474917e-01   4.1577001230e-01
   2.5000000000e-01   3.8005474917e-01   2.5402579750e-01
   2.5000000000e-01   3.8005474917e-01   2.5402579750e-01
   2.5000000000e-01   3.8005474917e-01   4.4768342447e-01
   2.5000000000e-01   3.8005474917e-01   4.4768342447e-01
   2.5000000000e-01   2.8382566324e-01   2.8137843358e-01
   2.5000000000e-01   2.8382566324e-01   2.8137843358e-01
   2.5000000000e-01   2.8382566324e-01   2.8137843358e-01
   2.5000000000e-01   2.8382566324e-01   2.8137843358e-01
   2.5000000000e-01   2.8382566324e-01   2.8137843358e-01
   2.5000000000e-01   2.8382566324e-01   2.8137843358e-01
   2.5000000000e-01   2.8382566324e-01   2.8137843358e-01
   2.5000000000e-01   2.8382566324e-01   2.8137843358e-01
   2.5000000000e-01   3.3194020621e-01   4.0885763123e-01
   2.5000000000e-01   3.3194020621e-01   4.0885763123e-01
   2.5000000000e-01   3.3194020621e-01   4.0885763123e-01
   2.5000000000e-01   3.3194020621e-01   4.0885763123e-01
   2.5000000000e-01   3.3194020621e-01   2.5880856732e-01
   2.5000000000e-01   3.3194020621e-01   2.5880856732e-01
   2.5000000000e-01   3.3194020621e-01   2.5880856732e-01
   2.5000000000e-01   3.3194020621e-01   2.5880856732e-01
   2.5000000000e-01   3.3194020621e-01   2.9203715776e-01
   2.5000000000e-01   3.3194020621e-01   2.9203715776e-01
   2.5000000000e-01   3.3194020621e-01   3.1351812681e-01
   2.5000000000e-01   3.3194020621e-01   3.1351812681e-01
   2.5000000000e-01   3.3194020621e-01   3.3499909585e-01
   2.5000000000e-01   3.3194020621e-01   3.3499909585e-01
   2.5000000000e-01   3.3194020621e-01   3.1351812681e-01
   2.5000000000e-01   3.3194020621e-01   3.1351812681e-01
   2.5000000000e-01   4.7320587152e-01   4.8919049115e-01
   2.5000000000e-01   4.7320587152e-01   4.8919049115e-01
   2.5000000000e-01   4.7320587152e-01   4.7273282697e-01
   2.5000000000e-01   4.7320587152e-01   4.7273282697e-01
   2.5000000000e-01   4.7320587152e-01   4.9611808076e-01
   2.5000000000e-01   4.7320587152e-01   4.9611808076e-01
   2.5000000000e-01   4.7320587152e-01   4.9611808076e-01
   2.5000000000e-01   4.7320587152e-01   4.9611808076e-01
   2.5000000000e-01   4.7320587152e-01   4.9453320145e-01
   2.5000000000e-01   4.7320587152e-01   4.9453320145e-01
   2.5000000000e-01   4.7320587152e-01   4.9453320145e-01
