# time = 120
# Grid Points = 1024
                 # mixf_00                 # mixf_01                 # mixf_02
   1.0000000000e+00   9.5879927095e-01   1.0356038431e+00
   1.0000000000e+00   9.5879927095e-01   1.0356038431e+00
   1.0000000000e+00   9.5879927095e-01   1.0356038431e+00
   1.0000000000e+00   9.5879927095e-01   1.0356038431e+00
   1.0000000000e+00   9.5879927095e-01   1.0588602235e+00
   1.0000000000e+00   9.5879927095e-01   1.0588602235e+00
   1.0000000000e+00   9.5879927095e-01   1.0600308283e+00
   1.0000000000e+00   9.5879927095e-01   1.0600308283e+00
   1.0000000000e+00   9.5879927095e-01   8.8174258377e-01
   1.0000000000e+00   9.5879927095e-01   8.8174258377e-01
   1.0000000000e+00   9.5879927095e-01   8.8174258377e-01
   1.0000000000e+00   9.5879927095e-01   8.8174258377e-01
   1.0000000000e+00   9.5879927095e-01   7.4737688306e-01
   1.0000000000e+00   9.5879927095e-01   7.4737688306e-01
   1.0000000000e+00   9.5879927095e-01   1.0027531843e+00
   1.0000000000e+00   9.5879927095e-01   1.0027531843e+00
   1.0000000000e+00   9.5879927095e-01   7.5182858312e-01
   1.0000000000e+00   9.5879927095e-01   7.5182858312e-01
   1.0000000000e+00   9.5879927095e-01   1.0568687878e+00
   1.0000000000e+00   9.5879927095e-01   1.0568687878e+00
   1.0000000000e+00   9.5879927095e-01   7.5182858312e-01
   1.0000000000e+00   9.5879927095e-01   7.5182858312e-01
   1.0000000000e+00   9.5879927095e-01   1.0568687878e+00
   1.0000000000e+00   9.5879927095e-01   1.0568687878e+00
   1.0000000000e+00   9.5879927095e-01   9.0212283545e-01
   1.0000000000e+00   9.5879927095e-01   9.0212283545e-01
   1.0000000000e+00   9.5879927095e-01   1.0767873855e+00
   1.0000000000e+00   9.5879927095e-01   1.0767873855e+00
   1.0000000000e+00   9.5879927095e-01   9.1542090931e-01
   1.0000000000e+00   9.5879927095e-01   9.1542090931e-01
   1.0000000000e+00   9.5879927095e-01   9.1542090931e-01
   1.0000000000e+00   9.5879927095e-01   9.1542090931e-01
   1.0000000000e+00   9.6408550247e-01   9.9454744914e-01
   1.0000000000e+00   9.6408550247e-01   9.9454744914e-01
   1.0000000000e+00   9.6408550247e-01   9.9454744914e-01
   1.0000000000e+00   9.6408550247e-01   9.9454744914e-01
   1.0000000000e+00   9.6408550247e-01   1.0716091700e+00
   1.0000000000e+00   9.6408550247e-01   1.0716091700e+00
   1.0000000000e+00   9.6408550247e-01   1.0716091700e+00
   1.0000000000e+00   9.6408550247e-01   1.0716091700e+00
   1.0000000000e+00   9.6408550247e-01   9.5830796995e-01
   1.0000000000e+00   9.6408550247e-01   9.5830796995e-01
   1.0000000000e+00   9.6408550247e-01   9.5830796995e-01
   1.0000000000e+00   9.6408550247e-01   9.5830796995e-01
   1.0000000000e+00   9.6408550247e-01   8.9798510086e-01
   1.0000000000e+00   9.6408550247e-01   8.9798510086e-01
   1.0000000000e+00   9.6408550247e-01   1.0186308390e+00
   1.0000000000e+00   9.6408550247e-01   1.0186308390e+00
   1.0000000000e+00   8.0244376330e-01   8.8523004226e-01
   1.0000000000e+00   8.0244376330e-01   8.8523004226e-01
   1.0000000000e+00   8.0244376330e-01   8.8523004226e-01
   1.0000000000e+00   8.0244376330e-01   8.8523004226e-01
   1.0000000000e+00   8.0244376330e-01   8.8523004226e-01
   1.0000000000e+00   8.0244376330e-01   8.8523004226e-01
   1.0000000000e+00   8.0244376330e-01   8.8523004226e-01
   1.0000000000e+00   8.0244376330e-01   8.8523004226e-01
   1.0000000000e+00   1.1257272416e+00   1.1185370824e+00
   1.0000000000e+00   1.1257272416e+00   1.1185370824e+00
   1.0000000000e+00   1.1257272416e+00   1.1094336261e+00
   1.0000000000e+00   1.1257272416e+00   1.1094336261e+00
   1.0000000000e+00   1.1257272416e+00   1.1085232805e+00
   1.0000000000e+00   1.1257272416e+00   1.1085232805e+00
   1.0000000000e+00   1.1257272416e+00   1.1085232805e+00
   1.0000000000e+00   1.1257272416e+00   1.1085232805e+00
   1.0000000000e+00   6.4379386891e-01   7.0495205415e-01
   1.0000000000e+00   6.4379386891e-01   7.0495205415e-01
   1.0000000000e+00   6.4379386891e-01   7.0495205415e-01
   1.0000000000e+00   6.4379386891e-01   7.0495205415e-01
   1.0000000000e+00   6.4379386891e-01   6.2772870655e-01
   1.0000000000e+00   6.4379386891e-01   6.2772870655e-01
   1.0000000000e+00   6.4379386891e-01   6.2772870655e-01
   1.0000000000e+00   6.4379386891e-01   6.2772870655e-01
   1.0000000000e+00   6.4379386891e-01   7.4873212394e-01
   1.0000000000e+00   6.4379386891e-01   7.4873212394e-01
   1.0000000000e+00   6.4379386891e-01   6.7232926531e-01
   1.0000000000e+00   6.4379386891e-01   6.7232926531e-01
   1.0000000000e+00   6.4379386891e-01   6.1386666409e-01
   1.0000000000e+00   6.4379386891e-01   6.1386666409e-01
   1.0000000000e+00   6.4379386891e-01   6.5999920227e-01
   1.0000000000e+00   6.4379386891e-01   6.5999920227e-01
   1.0000000000e+00   6.4379386891e-01   6.1386666409e-01
   1.0000000000e+00   6.4379386891e-01   6.1386666409e-01
   1.0000000000e+00   6.4379386891e-01   7.4873212394e-01
   1.0000000000e+00   6.4379386891e-01   7.4873212394e-01
   1.0000000000e+00   6.4379386891e-01   6.5999920227e-01
   1.0000000000e+00   6.4379386891e-01   6.5999920227e-01
   1.0000000000e+00   6.4379386891e-01   6.4766913922e-01
   1.0000000000e+00   6.4379386891e-01   6.4766913922e-01
   1.0000000000e+00   6.4379386891e-01   6.1729068504e-01
   1.0000000000e+00   6.4379386891e-01   6.1729068504e-01
   1.0000000000e+00   6.4379386891e-01   6.1729068504e-01
   1.0000000000e+00   6.4379386891e-01   6.1729068504e-01
   1.0000000000e+00   6.4379386891e-01   6.6436660257e-01
   1.0000000000e+00   6.4379386891e-01   6.6436660257e-01
   1.0000000000e+00   6.4379386891e-01   6.6436660257e-01
   1.0000000000e+00   6.4379386891e-01   6.6436660257e-01
   1.0000000000e+00   8.8702346762e-01   1.0394215013e+00
   1.0000000000e+00   8.8702346762e-01   1.0394215013e+00
   1.0000000000e+00   8.8702346762e-01   1.0505686322e+00
   1.0000000000e+00   8.8702346762e-01   1.0505686322e+00
   1.0000000000e+00   8.8702346762e-01   1.0394215013e+00
   1.0000000000e+00   8.8702346762e-01   1.0394215013e+00
   1.0000000000e+00   8.8702346762e-01   1.0505686322e+00
   1.0000000000e+00   8.8702346762e-01   1.0505686322e+00
   1.0000000000e+00   8.1301622634e-01   8.0490585925e-01
   1.0000000000e+00   8.1301622634e-01   8.0490585925e-01
   1.0000000000e+00   8.1301622634e-01   8.7258503940e-01
   1.0000000000e+00   8.1301622634e-01   8.7258503940e-01
   1.0000000000e+00   8.1301622634e-01   8.0490585925e-01
   1.0000000000e+00   8.1301622634e-01   8.0490585925e-01
   1.0000000000e+00   8.1301622634e-01   8.7258503940e-01
   1.0000000000e+00   8.1301622634e-01   8.7258503940e-01
   1.0000000000e+00   8.5001984698e-01   8.0490585925e-01
   1.0000000000e+00   8.5001984698e-01   8.0490585925e-01
   1.0000000000e+00   8.5001984698e-01   8.0490585925e-01
   1.0000000000e+00   8.5001984698e-01   8.0490585925e-01
   1.0000000000e+00   8.5001984698e-01   9.0642462948e-01
   1.0000000000e+00   8.5001984698e-01   9.0642462948e-01
   1.0000000000e+00   8.5001984698e-01   8.3874544933e-01
   1.0000000000e+00   8.5001984698e-01   8.3874544933e-01
   1.0000000000e+00   8.5001984698e-01   9.3225987056e-01
   1.0000000000e+00   8.5001984698e-01   9.3225987056e-01
   1.0000000000e+00   8.5001984698e-01   9.3225987056e-01
   1.0000000000e+00   8.5001984698e-01   9.3225987056e-01
   1.0000000000e+00   8.5001984698e-01   9.9420103406e-01
   1.0000000000e+00   8.5001984698e-01   9.9420103406e-01
   1.0000000000e+00   8.5001984698e-01   8.7031870705e-01
   1.0000000000e+00   8.5001984698e-01   8.7031870705e-01
  -1.0000000000e+00  -1.0552925003e+00  -1.0075718668e+00
  -1.0000000000e+00  -1.0552925003e+00  -1.0075718668e+00
  -1.0000000000e+00  -1.0552925003e+00  -9.1971889277e-01
  -1.0000000000e+00  -1.0552925003e+00  -9.1971889277e-01
  -1.0000000000e+00  -1.0552925003e+00  -8.4629414063e-01
  -1.0000000000e+00  -1.0552925003e+00  -8.4629414063e-01
  -1.0000000000e+00  -1.0552925003e+00  -9.1971889277e-01
  -1.0000000000e+00  -1.0552925003e+00  -9.1971889277e-01
  -1.0000000000e+00  -1.0552925003e+00  -1.2664538236e+00
  -1.0000000000e+00  -1.0552925003e+00  -1.2664538236e+00
  -1.0000000000e+00  -1.0552925003e+00  -1.2664538236e+00
  -1.0000000000e+00  -1.0552925003e+00  -1.2664538236e+00
  -1.0000000000e+00  -1.0552925003e+00  -1.0046192307e+00
  -1.0000000000e+00  -1.0552925003e+00  -1.0046192307e+00
  -1.0000000000e+00  -1.0552925003e+00  -1.0046192307e+00
  -1.0000000000e+00  -1.0552925003e+00  -1.0046192307e+00
  -1.0000000000e+00  -1.0552925003e+00  -9.2416343877e-01
  -1.0000000000e+00  -1.0552925003e+00  -9.2416343877e-01
  -1.0000000000e+00  -1.0552925003e+00  -9.2416343877e-01
  -1.0000000000e+00  -1.0552925003e+00  -9.2416343877e-01
  -1.0000000000e+00  -1.0552925003e+00  -8.4456981143e-01
  -1.0000000000e+00  -1.0552925003e+00  -8.4456981143e-01
  -1.0000000000e+00  -1.0552925003e+00  -1.1811873434e+00
  -1.0000000000e+00  -1.0552925003e+00  -1.1811873434e+00
  -1.0000000000e+00  -1.0552925003e+00  -1.2664538236e+00
  -1.0000000000e+00  -1.0552925003e+00  -1.2664538236e+00
  -1.0000000000e+00  -1.0552925003e+00  -9.2693300372e-01
  -1.0000000000e+00  -1.0552925003e+00  -9.2693300372e-01
  -1.0000000000e+00  -1.0552925003e+00  -1.2664538236e+00
  -1.0000000000e+00  -1.0552925003e+00  -1.2664538236e+00
  -1.0000000000e+00  -1.0552925003e+00  -9.2693300372e-01
  -1.0000000000e+00  -1.0552925003e+00  -9.2693300372e-01
  -1.0000000000e+00  -9.2561498952e-01  -9.3361598993e-01
  -1.0000000000e+00  -9.2561498952e-01  -9.3361598993e-01
  -1.0000000000e+00  -9.2561498952e-01  -9.3361598993e-01
  -1.0000000000e+00  -9.2561498952e-01  -9.3361598993e-01
  -1.0000000000e+00  -9.2561498952e-01  -1.1331211215e+00
  -1.0000000000e+00  -9.2561498952e-01  -1.1331211215e+00
  -1.0000000000e+00  -9.2561498952e-01  -1.1331211215e+00
  -1.0000000000e+00  -9.2561498952e-01  -1.1331211215e+00
  -1.0000000000e+00  -9.2561498952e-01  -9.4403829428e-01
  -1.0000000000e+00  -9.2561498952e-01  -9.4403829428e-01
