# time = 240.001
# Grid Points = 1024
                 # mixf_00                 # mixf_01                 # mixf_02
  -5.3960058982e-01  -5.5940390494e-01  -6.0276749726e-01
  -5.3960058982e-01  -5.5940390494e-01  -6.0276749726e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.6313674233e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.6313674233e-01
  -5.3960058982e-01  -5.5940390494e-01  -6.0276749726e-01
  -5.3960058982e-01  -5.5940390494e-01  -6.0276749726e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.2943429801e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.2943429801e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.4628552017e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.4628552017e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.4628552017e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.4628552017e-01
  -5.3960058982e-01  -5.5940390494e-01  -6.7800240038e-01
  -5.3960058982e-01  -5.5940390494e-01  -6.7800240038e-01
  -5.3960058982e-01  -5.5940390494e-01  -6.7800240038e-01
  -5.3960058982e-01  -5.5940390494e-01  -6.7800240038e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.9473844588e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.9473844588e-01
  -5.3960058982e-01  -5.5940390494e-01  -6.7936528715e-01
  -5.3960058982e-01  -5.5940390494e-01  -6.7936528715e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.9473844588e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.9473844588e-01
  -5.3960058982e-01  -5.5940390494e-01  -8.0511652116e-01
  -5.3960058982e-01  -5.5940390494e-01  -8.0511652116e-01
  -5.3960058982e-01  -5.5940390494e-01  -4.8196822677e-01
  -5.3960058982e-01  -5.5940390494e-01  -4.8196822677e-01
  -5.3960058982e-01  -5.5940390494e-01  -6.2514790702e-01
  -5.3960058982e-01  -5.5940390494e-01  -6.2514790702e-01
  -5.3960058982e-01  -5.5940390494e-01  -4.8196822677e-01
  -5.3960058982e-01  -5.5940390494e-01  -4.8196822677e-01
  -5.3960058982e-01  -5.5940390494e-01  -6.2514790702e-01
  -5.3960058982e-01  -5.5940390494e-01  -6.2514790702e-01
  -5.3960058982e-01  -5.5940390494e-01  -6.7936528715e-01
  -5.3960058982e-01  -5.5940390494e-01  -6.7936528715e-01
  -5.3960058982e-01  -5.5940390494e-01  -6.0276749726e-01
  -5.3960058982e-01  -5.5940390494e-01  -6.0276749726e-01
  -5.3960058982e-01  -5.5940390494e-01  -4.2959692682e-01
  -5.3960058982e-01  -5.5940390494e-01  -4.2959692682e-01
  -5.3960058982e-01  -5.5940390494e-01  -4.8196822677e-01
  -5.3960058982e-01  -5.5940390494e-01  -4.8196822677e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.1475869437e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.1475869437e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.7232806345e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.7232806345e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.5854108178e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.5854108178e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.5854108178e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.5854108178e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.7942289340e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.7942289340e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.9214344091e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.9214344091e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.7942289340e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.7942289340e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.9214344091e-01
  -5.3960058982e-01  -5.5940390494e-01  -5.9214344091e-01
  -5.3960058982e-01  -5.5940390494e-01  -6.0795750719e-01
  -5.3960058982e-01  -5.5940390494e-01  -6.0795750719e-01
  -5.3960058982e-01  -5.5940390494e-01  -6.0795750719e-01
  -5.3960058982e-01  -5.5940390494e-01  -6.0795750719e-01
  -5.3960058982e-01  -5.5940390494e-01  -4.7217781059e-01
  -5.3960058982e-01  -5.5940390494e-01  -4.7217781059e-01
  -5.3960058982e-01  -5.5940390494e-01  -4.7217781059e-01
  -5.3960058982e-01  -5.5940390494e-01  -4.7217781059e-01
  -5.2799526269e-01  -8.9352474967e-01  -8.1387615303e-01
  -5.2799526269e-01  -8.9352474967e-01  -8.1387615303e-01
  -5.2799526269e-01  -8.9352474967e-01  -8.1387615303e-01
  -5.2799526269e-01  -8.9352474967e-01  -8.1387615303e-01
  -5.2799526269e-01  -8.9352474967e-01  -7.5809614009e-01
  -5.2799526269e-01  -8.9352474967e-01  -7.5809614009e-01
  -5.2799526269e-01  -8.9352474967e-01  -7.5809614009e-01
  -5.2799526269e-01  -8.9352474967e-01  -7.5809614009e-01
  -5.2799526269e-01  -8.9352474967e-01  -7.8040814526e-01
  -5.2799526269e-01  -8.9352474967e-01  -7.8040814526e-01
  -5.2799526269e-01  -8.9352474967e-01  -8.0272015044e-01
  -5.2799526269e-01  -8.9352474967e-01  -8.0272015044e-01
  -5.2799526269e-01  -8.9352474967e-01  -8.9196817115e-01
  -5.2799526269e-01  -8.9352474967e-01  -8.9196817115e-01
  -5.2799526269e-01  -8.9352474967e-01  -8.0272015044e-01
  -5.2799526269e-01  -8.9352474967e-01  -8.0272015044e-01
  -5.2799526269e-01  -5.8132553831e-01  -6.3325637590e-01
  -5.2799526269e-01  -5.8132553831e-01  -6.3325637590e-01
  -5.2799526269e-01  -5.8132553831e-01  -7.2068020185e-01
  -5.2799526269e-01  -5.8132553831e-01  -7.2068020185e-01
  -5.2799526269e-01  -5.8132553831e-01  -4.2451733319e-01
  -5.2799526269e-01  -5.8132553831e-01  -4.2451733319e-01
  -5.2799526269e-01  -5.8132553831e-01  -6.3325637590e-01
  -5.2799526269e-01  -5.8132553831e-01  -6.3325637590e-01
  -5.2799526269e-01  -5.8132553831e-01  -6.3325637590e-01
  -5.2799526269e-01  -5.8132553831e-01  -6.3325637590e-01
  -5.2799526269e-01  -5.8132553831e-01  -6.7822526634e-01
  -5.2799526269e-01  -5.8132553831e-01  -6.7822526634e-01
  -5.2799526269e-01  -5.8132553831e-01  -6.5574082112e-01
  -5.2799526269e-01  -5.8132553831e-01  -6.5574082112e-01
  -5.2799526269e-01  -5.8132553831e-01  -6.5574082112e-01
  -5.2799526269e-01  -5.8132553831e-01  -6.5574082112e-01
  -5.2799526269e-01  -3.0253213603e-01  -2.5753181619e-01
  -5.2799526269e-01  -3.0253213603e-01  -2.5753181619e-01
  -5.2799526269e-01  -3.0253213603e-01  -2.5753181619e-01
  -5.2799526269e-01  -3.0253213603e-01  -2.5753181619e-01
  -5.2799526269e-01  -3.0253213603e-01  -4.7802979548e-01
  -5.2799526269e-01  -3.0253213603e-01  -4.7802979548e-01
  -5.2799526269e-01  -3.0253213603e-01  -4.7802979548e-01
  -5.2799526269e-01  -3.0253213603e-01  -4.7802979548e-01
  -5.2799526269e-01  -3.0253213603e-01  -3.8346082344e-01
  -5.2799526269e-01  -3.0253213603e-01  -3.8346082344e-01
  -5.2799526269e-01  -3.0253213603e-01  -3.8346082344e-01
